BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2021-01-13,Селигдар-п,SELGP,163.0,1761050.0,41.05,40.9,41.35,41.2,41.15,41.2,42800.0,41.15,41.15,41.2,1761050.0,1761050.0,1761050.0,0.0,3
TQBR,2021-01-13,САФМАР ао,SFIN,20.0,249290.0,497.6,497.6,501.8,498.8,498.6,498.8,500.0,,498.6,498.8,0.0,508586.0,0.0,0.0,3
TQPI,2021-01-13,СибГост ао,SIBG,3650.0,11110938.3,0.3645,0.359,0.39,0.365,0.377,0.365,29491000.0,0.377,0.377,0.365,11110938.3,11110938.3,11110938.3,0.0,3
SMAL,2021-01-13,Газпрнефть,SIBN,2.0,673.4,338.9,334.5,338.9,,335.75,334.5,2.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,Газпрнефть,SIBN,7407.0,519324988.5,336.0,332.7,338.5,333.75,335.75,333.75,1546720.0,335.75,335.75,333.75,519324988.5,519324988.5,519324988.5,0.0,3
TQBR,2021-01-13,Сахэнер ао,SLEN,101.0,587918.0,5.525,5.25,5.53,5.295,5.315,5.35,110600.0,5.315,5.315,5.295,587918.0,587918.0,587918.0,0.0,3
TQBR,2021-01-13,Самолет ао,SMLT,399.0,2441658.0,960.4,950.2,962.0,952.2,955.2,952.0,2556.0,955.2,955.2,952.2,2441658.0,2441658.0,2441658.0,0.0,3
SMAL,2021-01-13,Сургнфгз,SNGS,8.0,3985.74,38.2,37.01,38.2,,37.245,37.12,106.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,Сургнфгз,SNGS,14757.0,1584855834.5,37.75,36.8,37.91,37.305,37.245,37.285,42554200.0,37.24,37.24,37.305,1455845611.0,1455845611.0,1455845611.0,0.0,3
SMAL,2021-01-13,Сургнфгз-п,SNGSP,20.0,15689.74,42.39,41.36,42.595,,42.185,42.0,372.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,Сургнфгз-п,SNGSP,12361.0,1149471481.0,42.28,41.86,42.47,42.33,42.185,42.295,27249300.0,42.18,42.18,42.33,1110445070.5,1110445070.5,1110445070.5,0.0,3
TQBR,2021-01-13,СтаврЭнСб,STSB,42.0,50775.0,0.529,0.5205,0.529,0.5235,0.5235,0.5235,97000.0,,0.523,0.5235,0.0,500474.5,0.0,0.0,3
TQBR,2021-01-13,СтаврЭнСбп,STSBP,156.0,1166044.5,0.3395,0.323,0.34,0.331,0.331,0.331,3525000.0,0.331,0.331,0.331,1166044.5,1166044.5,1166044.5,0.0,3
TQTF,2021-01-13,SUGB ETF,SUGB,1120.0,10923437.8,1013.5,1013.3,1013.5,1013.4,1013.4,1013.4,10779.0,1013.4,1013.4,1013.4,10923437.8,10923437.8,10923437.8,8515539.83,3
TQBR,2021-01-13,СОЛЛЕРС,SVAV,86.0,782285.0,265.0,263.5,267.5,266.0,266.0,266.0,2940.0,266.0,266.0,266.0,782285.0,782285.0,782285.0,0.0,3
SMAL,2021-01-13,ТамбЭнСб,TASB,1.0,1350.2,0.3925,0.3925,0.3925,,0.3935,0.3925,3440.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,ТамбЭнСб,TASB,11.0,98330.0,0.398,0.391,0.398,0.3965,0.3935,0.3965,250000.0,,0.3895,0.3965,0.0,506255.0,0.0,0.0,3
TQBR,2021-01-13,ТамбЭнСб-п,TASBP,15.0,186195.0,0.2805,0.2795,0.285,0.285,0.282,0.285,660000.0,,0.279,0.285,0.0,501855.0,0.0,0.0,3
TQBR,2021-01-13,Татнфт 3ао,TATN,45142.0,4032674939.7,549.3,543.2,558.0,547.8,551.6,546.2,7314540.0,551.7,551.7,547.8,3789506169.7,3789506169.7,3789506169.7,0.0,3
TQBR,2021-01-13,Татнфт 3ап,TATNP,20441.0,1033084925.1,498.9,497.7,508.6,506.1,504.3,503.5,2048691.0,504.3,504.3,506.1,984400466.3,984400466.3,984400466.3,0.0,3
TQTD,2021-01-13,TBIO ETF,TBIO,5269.0,258984.68,0.1013,0.1009,0.1017,0.1015,0.1014,0.1015,2552962.0,7.5339,7.5339,0.1015,19233835.34,19233835.34,19233835.34,392549.82,3
TQBR,2021-01-13,TCS-гдр,TCSG,13355.0,483958705.0,2919.8,2844.8,2955.4,2859.6,2873.8,2882.0,168401.0,2874.6,2874.6,2859.6,443995484.6,443995484.6,443995484.6,0.0,3
TQTD,2021-01-13,TECH ETF,TECH,7869.0,646387.6,0.0994,0.0988,0.1,0.0996,0.0996,0.0996,6487135.0,7.3999,7.4,0.0996,48004817.76,48004817.76,48004817.76,534551.19,3
TQTE,2021-01-13,TEUR ETF,TEUR,35186.0,398804.89,0.1043,0.1042,0.1049,0.1046,0.1045,0.1045,3815861.0,9.4423,9.4398,0.1046,36021081.89,36021081.89,36021081.89,279629.4,3
