timestamp,open (RUB),high (RUB),low (RUB),close (RUB),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-02-25,630350.96768000,631622.70000000,603877.00000000,608175.29856000,9655.52000000,9675.00000000,9250.00000000,9315.84000000,54379.34455200,54379.34455200
2020-02-26,606959.35552000,610930.83856000,562472.36087000,572350.25225000,9316.48000000,9377.44000000,8633.63000000,8785.25000000,92130.34548200,92130.34548200
2020-02-27,581035.75200000,593321.09364000,564172.09200000,583496.52372000,8786.00000000,8971.77000000,8531.00000000,8823.21000000,72483.57876200,72483.57876200
2020-02-28,588801.94225000,593923.70000000,563560.18500000,580103.96303000,8823.25000000,8900.00000000,8445.00000000,8692.91000000,71155.20897700,71155.20897700
2020-02-29,583908.77960000,590573.73000000,572671.75385000,572675.78507000,8690.80000000,8790.00000000,8523.55000000,8523.61000000,36748.18303500,36748.18303500
2020-03-01,572675.78507000,587886.25000000,565109.85700000,573231.42156000,8523.61000000,8750.00000000,8411.00000000,8531.88000000,43892.20177900,43892.20177900
2020-03-02,567845.01040000,596832.04600000,565694.86400000,593469.69632000,8530.30000000,8965.75000000,8498.00000000,8915.24000000,60401.31773000,60401.31773000
2020-03-03,587621.03156000,588179.56030000,570464.24200000,577656.53594000,8911.18000000,8919.65000000,8651.00000000,8760.07000000,55154.99728200,55154.99728200
2020-03-04,581195.60422000,587048.64834000,574556.36000000,580585.22102000,8760.07000000,8848.29000000,8660.00000000,8750.87000000,38696.48257800,38696.48257800
2020-03-05,585940.03743000,613287.28494000,585642.07878000,606274.20876000,8750.99000000,9159.42000000,8746.54000000,9054.68000000,58201.86635500,58201.86635500
2020-03-06,620813.28232000,628722.71000000,616072.83650000,626109.08844000,9054.64000000,9170.00000000,8985.50000000,9131.88000000,43782.94804400,43782.94804400
2020-03-07,625082.46762000,628992.10400000,604826.43000000,608362.97028000,9130.89000000,9188.00000000,8835.00000000,8886.66000000,45422.20452500,45422.20452500
2020-03-08,608266.44450000,608369.81608000,547664.00000000,549944.33598000,8885.25000000,8886.76000000,8000.00000000,8033.31000000,77537.31516600,77537.31516600
2020-03-09,577193.05412000,587577.09247000,548260.70237000,569658.07119000,8034.76000000,8179.31000000,7632.01000000,7929.87000000,116968.86326800,116968.86326800
2020-03-10,569856.31794000,585603.43800000,555350.25462000,567318.87072000,7929.87000000,8149.00000000,7728.01000000,7894.56000000,86783.44387500,86783.44387500
2020-03-11,568630.08796000,574783.44000000,546692.52000000,571507.60656000,7894.57000000,7980.00000000,7590.00000000,7934.52000000,79942.41117200,79942.41117200
2020-03-12,592435.41570000,594794.08305000,329272.65000000,358392.00000000,7934.58000000,7966.17000000,4410.00000000,4800.00000000,261505.60865300,261505.60865300
2020-03-13,352882.33517000,437793.73500000,278050.85121000,410121.93620000,4800.01000000,5955.00000000,3782.13000000,5578.60000000,402201.67376400,402201.67376400
2020-03-14,409934.46785000,414674.10884000,371637.99221000,380234.33502000,5576.05000000,5640.52000000,5055.13000000,5172.06000000,136910.13597400,136910.13597400
2020-03-16,398647.74210000,399026.28540000,330360.46440000,374004.49890000,5360.33000000,5365.42000000,4442.12000000,5028.97000000,227276.92276000,227276.92276000
2020-03-17,320635.08474000,352268.47500000,313786.73055000,338728.61376000,5028.86000000,5525.00000000,4921.45000000,5312.64000000,150089.92631800,150089.92631800
2020-03-18,425473.39968000,435366.54679000,401185.41519000,431912.39448000,5312.64000000,5436.17000000,5009.37000000,5393.04000000,137127.63489400,137127.63489400
2020-03-19,421453.39034000,500124.54400000,410456.12048400,481555.07597000,5393.26000000,6400.00000000,5252.53000000,6162.37000000,199020.87343900,199020.87343900
2020-03-20,491435.81160000,550288.80000000,452193.84000000,495129.12672000,6162.05000000,6900.00000000,5670.00000000,6208.36000000,219298.32951400,219298.32951400
2020-03-21,494826.86664000,514957.06896000,467348.31504000,493424.02896000,6204.57000000,6456.98000000,5860.02000000,6186.98000000,128913.66836300,128913.66836300
2020-03-22,501077.85163200,518962.49792100,464387.72208300,471043.34057700,6187.04000000,6407.87000000,5734.01000000,5816.19000000,119115.99052700,119115.99052700
2020-03-23,457300.30816500,518940.18000000,447232.08240000,508507.12356300,5816.05000000,6600.00000000,5688.00000000,6467.31000000,164674.21578500,164674.21578500
2020-03-24,505587.26963200,534345.58809000,498242.65707100,527442.02764600,6465.25000000,6833.00000000,6371.33000000,6744.72000000,151138.00987800,151138.00987800
2020-03-25,529833.84423300,546587.41837200,506684.26500000,524550.18785100,6744.69000000,6957.96000000,6450.00000000,6677.43000000,132155.73498900,132155.73498900
2020-03-26,519007.87821000,526980.99180000,505995.02310000,523666.76326200,6677.42000000,6780.00000000,6510.00000000,6737.36000000,83026.55521100,83026.55521100
2020-03-27,530223.14900000,538511.83300000,492740.70000000,500461.95700000,6737.27000000,6842.59000000,6261.00000000,6359.11000000,82914.96835400,82914.96835400
2020-03-29,499161.57108700,501510.65146000,469540.74807400,470730.09507000,6236.65000000,6266.00000000,5866.56000000,5881.42000000,63311.62771400,63311.62771400
2020-03-30,466388.33550000,523373.28900000,464584.80336000,507144.67218000,5880.50000000,6599.00000000,5857.76000000,6394.38000000,118889.54999200,118889.54999200
2020-03-31,505121.90441000,515294.72597400,499351.40732000,506385.01527200,6394.45000000,6523.23000000,6321.40000000,6410.44000000,72337.59525900,72337.59525900
2020-04-01,497180.66403600,517945.17975600,476863.53911400,515074.74520800,6412.14000000,6679.94000000,6150.11000000,6642.92000000,97500.75240000,97500.75240000
2020-04-02,515074.98052800,558077.49540000,507914.09730000,526761.42410700,6643.36000000,7198.00000000,6551.00000000,6794.09000000,149299.90687100,149299.90687100
2020-04-03,520429.37819400,539897.23920000,505740.00609000,515851.58889000,6793.86000000,7048.00000000,6602.10000000,6734.10000000,104080.27693900,104080.27693900
2020-04-04,515341.52380000,535045.98140000,508991.76540000,524834.01460000,6732.97000000,6990.41000000,6650.01000000,6856.99000000,72990.86113900,72990.86113900
2020-04-05,526326.10398900,529252.69206600,512519.02480800,519830.50606200,6857.41000000,6895.54000000,6677.52000000,6772.78000000,49685.35698300,49685.35698300
2020-04-06,510684.54395000,554595.94385000,510097.91250000,552692.78475000,6772.78000000,7355.14000000,6765.00000000,7329.90000000,118052.00083200,118052.00083200
2020-04-07,554205.60281100,564018.88064400,535084.11453000,544181.37617500,7329.90000000,7459.69000000,7077.00000000,7197.32000000,103585.16891800,103585.16891800
2020-04-08,539300.72953600,555986.31340000,535755.00550000,551586.37858600,7197.32000000,7420.00000000,7150.00000000,7361.28000000,76059.14583800,76059.14583800
2020-04-09,546571.58275300,547437.45225400,527844.74134600,540874.36936300,7360.26000000,7371.92000000,7108.08000000,7283.54000000,61094.87241700,61094.87241700
2020-04-10,534925.02822000,535821.76725000,495004.35114000,503739.66156000,7283.54000000,7295.75000000,6739.98000000,6858.92000000,104674.62337500,104674.62337500
2020-04-11,503739.66156000,510010.22490000,496474.68000000,505055.02569000,6858.92000000,6944.30000000,6760.00000000,6876.83000000,45470.29320600,45470.29320600
2020-04-12,503487.84060000,525464.05500000,496397.70000000,505460.98485000,6876.84000000,7177.00000000,6780.00000000,6903.79000000,73868.66650100,73868.66650100
2020-04-13,506442.49667400,506442.49667400,482323.39275000,501609.72631500,6903.79000000,6903.79000000,6575.00000000,6837.91000000,96415.47657300,96415.47657300
2020-04-14,501296.71240000,511557.18000000,495156.26680000,503544.39700000,6838.04000000,6978.00000000,6754.28000000,6868.70000000,69068.62328500,69068.62328500
2020-04-15,513321.54866400,518136.71505000,493623.68425000,494837.37821400,6868.57000000,6933.00000000,6605.00000000,6621.24000000,61571.38499400,61571.38499400
2020-04-16,486682.13602500,528487.00140000,475437.63790600,522014.32193600,6621.25000000,7190.00000000,6468.27000000,7101.94000000,125009.85753900,125009.85753900
2020-04-17,524425.14558000,527831.47704000,514898.78916000,518928.34710000,7101.99000000,7148.12000000,6972.98000000,7027.55000000,54126.50976300,54126.50976300
2020-04-18,518871.48876000,538535.61336000,517957.32480000,535251.12120000,7026.78000000,7293.08000000,7014.40000000,7248.60000000,49488.54281900,49488.54281900
2020-04-19,542694.99848400,544008.94838100,528245.29306400,533122.25581600,7248.60000000,7266.15000000,7055.60000000,7120.74000000,45664.86393000,45664.86393000
2020-04-20,539546.53295400,547016.87420000,511483.50661000,517228.69907100,7121.40000000,7220.00000000,6751.00000000,6826.83000000,90149.49137000,90149.49137000
2020-04-21,528647.73135200,537242.05600000,523462.64880000,529606.87098800,6828.98000000,6940.00000000,6762.00000000,6841.37000000,60109.71080800,60109.71080800
2020-04-22,514839.70544000,538546.22052000,513081.77200000,536195.28556000,6841.36000000,7156.38000000,6818.00000000,7125.14000000,61486.37733400,61486.37733400
2020-04-23,532579.99086700,578390.81578000,524722.60620000,559284.78367600,7125.12000000,7738.00000000,7020.00000000,7482.39000000,102773.56956100,102773.56956100
2020-04-24,556806.62400000,566627.42400000,549667.20000000,558372.00000000,7483.96000000,7615.96000000,7388.00000000,7505.00000000,60182.11993900,60182.11993900
2020-04-25,558372.00000000,573252.00000000,552871.60800000,560877.04800000,7505.00000000,7705.00000000,7431.07000000,7538.67000000,43874.42772600,43874.42772600
2020-04-26,561596.59346700,573587.55300000,557199.33720000,573073.55895900,7539.03000000,7700.00000000,7480.00000000,7693.10000000,50522.61620900,50522.61620900
2020-04-27,575565.81563500,582966.59951700,569049.35510000,581664.80372700,7693.10000000,7792.02000000,7606.00000000,7774.62000000,65441.33957600,65441.33957600
2020-04-28,573431.46610400,573910.21640000,564993.21550600,570884.27847200,7773.51000000,7780.00000000,7659.12000000,7738.98000000,46302.75263800,46302.75263800
2020-04-29,562867.70571700,651190.87143000,560792.56846400,638511.65916400,7738.58000000,8952.89000000,7710.05000000,8778.57000000,183546.88751400,183546.88751400
2020-04-30,656722.05836800,707698.81600000,628475.44960000,644858.75200000,8778.58000000,9460.00000000,8401.00000000,8620.00000000,206277.21412400,206277.21412400
2020-05-01,648284.34000000,681313.75026000,647800.00692000,663849.18072000,8620.00000000,9059.18000000,8613.56000000,8826.96000000,91468.81505900,91468.81505900
2020-05-02,663752.16369000,677615.07000000,658286.87100000,674760.96435000,8825.67000000,9010.00000000,8753.00000000,8972.05000000,59002.08755000,59002.08755000
