BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQIR,2021-06-09,МясничБОП2,RU000A0ZZGZ2,30.0,146776.04,100.38,101.44,100.47,100.47,0.59,100.81,9.96,101.3,364.0,,100.7,100.47,0.0,501472.6,0.0,2021-08-04,45.0,6.89,,,13.5,4.44,,2021-06-09,400.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ВТБ Б-1-8,RU000A0ZZH84,56.0,184380350.3,100.21,100.56,100.42,100.39,4.82,100.38,6.04,100.21,183688.0,100.38,100.38,100.39,184380350.3,184380350.3,184380350.3,2021-08-24,76.0,6.25,,,8.0,21.48,,2021-06-09,1000.0,SUR,,,5.8246,,RUB,3
TQCB,2021-06-09,СберИОС22,RU000A0ZZL54,1.0,2074.0,103.7,103.7,103.7,103.7,,103.7,,103.7,2.0,103.96,103.96,103.7,1627974.0,1627974.0,1627974.0,2021-10-14,,,,,0.01,0.31,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,СберИОС18,RU000A0ZZMA3,1.0,1185723.0,123.9,123.9,123.9,123.9,,123.9,,123.9,957.0,123.25,123.51,123.9,4842562.4,3617562.4,4842562.4,2022-03-31,,,,,1.35,47.6,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQIR,2021-06-09,СолЛизБО02,RU000A0ZZMQ9,8.0,24097.1,100.29,100.6,100.6,100.59,28.85,100.4,11.78,100.31,24.0,,100.85,100.59,0.0,535501.7,0.0,2023-09-19,101.0,12.57,,,13.5,33.66,2021-09-21,2021-06-09,1000.0,SUR,,10.2521,,2021-10-05,RUB,3
TQCB,2021-06-09,ГолосДвБО1,RU000A0ZZNV7,11.0,200709.5,100.34,100.39,100.39,100.39,19.59,100.35,9.86,100.34,200.0,,100.33,100.39,0.0,532744.2,0.0,2021-10-04,117.0,10.0,,,11.0,54.85,,2021-06-09,1000.0,SUR,,,9.4645,,RUB,3
TQCB,2021-06-09,СберИОС29,RU000A0ZZP27,1.0,1006.0,100.6,100.6,100.6,100.6,,100.6,,100.6,1.0,,101.91,100.6,0.0,696022.1,0.0,2021-11-11,,,,,0.01,0.31,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,СберИОС27,RU000A0ZZP35,2.0,2405363.2,125.52,125.56,125.52,125.54,,125.54,,125.56,1916.0,,122.76,125.54,0.0,9675658.0,0.0,2022-04-18,,,,,1.35,47.64,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,СберИОС30,RU000A0ZZPE8,1.0,4950.0,99.0,99.0,99.0,99.0,,99.0,,99.0,5.0,,98.26,99.0,0.0,2308185.4,0.0,2022-04-21,,,,,0.01,0.35,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,РСХБ БО-6Р,RU000A0ZZPZ3,23.0,486400.1,102.54,102.65,102.64,102.64,13.32,102.62,7.02,102.65,474.0,,102.71,102.64,0.0,1003484.1,0.0,2022-10-14,469.0,7.04,,,9.0,44.88,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,СвердлОбл5,RU000A0ZZQH9,1.0,324656.0,103.0,103.0,103.0,103.0,15.03,103.0,7.34,103.0,394.0,103.06,103.0,103.0,1717462.88,1299474.24,1717462.88,2026-10-23,712.0,7.34,,,8.68,17.31,,2021-06-09,800.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ФСК ЕЭС1Р1,RU000A0ZZQN7,5.0,26255.4,103.99,105.99,104.75,104.75,11.44,105.02,6.67,105.99,25.0,,105.53,104.75,0.0,913917.4,0.0,2023-10-19,782.0,6.54,,,8.7,21.69,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ХабарКрай7,RU000A0ZZQQ0,2.0,39930.1,105.05,106.16,106.16,106.16,11.59,105.08,6.97,105.05,38.0,105.22,105.21,106.16,840716.4,830116.4,840716.4,2025-10-24,1002.0,7.36,,,9.0,22.44,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ЛипецкОб10,RU000A0ZZR33,13.0,53185.38,103.07,103.13,103.07,103.07,6.06,103.07,7.44,103.13,86.0,,,103.07,0.0,0.0,0.0,2025-10-21,844.0,7.44,,,8.57,12.82,,2021-06-09,600.0,SUR,,,,,RUB,3
TQIR,2021-06-09,ДрктЛиз1P3,RU000A0ZZR90,6.0,138815.8,101.95,102.45,102.45,102.36,16.49,102.07,7.55,101.96,136.0,,102.08,102.36,0.0,519596.0,0.0,2021-10-26,136.0,8.62,,,14.0,34.9,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,АЛЬФА-Б2Р2,RU000A0ZZRB0,65.0,18917828.2,100.93,101.25,101.05,101.05,9.32,101.02,6.28,101.25,18727.0,101.02,101.02,101.05,18917828.2,18917828.2,18917828.2,2021-11-01,145.0,6.36,,,8.95,44.87,,2021-06-09,1000.0,SUR,,,6.1225,,RUB,3
TQCB,2021-06-09,СберИОС35,RU000A0ZZRU0,1.0,990.0,99.0,99.0,99.0,99.0,,99.0,,99.0,1.0,129.28,110.81,99.0,9994894.0,520802.1,9994894.0,2021-12-06,,,,,0.01,0.31,,2021-06-09,1000.0,SUR,,,,,RUB,3
