BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
EQNE,2012-06-01,СУЭК-Красн,SKRN,16.0,678129.0,4.35,4.35,4.655,4.44,4.432,4.44,153000.0,4.432,4.432,4.432,678129.0,678129.0,678129.0,
EQNL,2012-06-01,Сургнфгз,SNGS,21009.0,738366956.8,24.808,24.031,25.25,24.751,24.68,24.77,29918100.0,24.691,24.691,24.691,872062739.17,872062739.17,872062739.17,
SMAL,2012-06-01,Сургнфгз,SNGS,17.0,6040.97,24.4,24.0,24.728,24.679,24.261,24.728,249.0,,,,0.0,0.0,0.0,
EQNL,2012-06-01,Сургнфгз-п,SNGSP,11786.0,619179744.1,15.85,15.512,16.384,15.966,15.968,16.049,38777100.0,15.969,15.969,15.969,657680335.1,657680335.1,657680335.1,
SMAL,2012-06-01,Сургнфгз-п,SNGSP,23.0,14953.8,16.399,15.5,16.399,15.501,15.544,15.501,962.0,,,,0.0,0.0,0.0,
EQNL,2012-06-01,ГПНХСал ао,SNOS,1.0,23500.5,4700.1,4700.1,4700.1,4700.1,4700.1,4700.1,5.0,4694.9,4696.7,4694.9,680762.2,540122.4,680762.2,
EQNE,2012-06-01,СтаврЭнСб,STSB,28.0,560091.2,1.0003,0.98,1.04,1.04,1.0183,1.04,550000.0,1.0183,1.0183,1.0183,560091.2,560091.2,560091.2,
EQNE,2012-06-01,СтаврЭнСбп,STSBP,76.0,42256.9,0.255,0.2042,0.265,0.2273,0.2248,0.2275,188000.0,,0.2396,,0.0,553687.66,0.0,
EQNE,2012-06-01,"ОАО ""СУМЗ""",SUMZ,14.0,65245.5,125.3,121.1,125.49,122.33,123.1,121.1,530.0,,131.13,,0.0,501172.1,0.0,
EQNL,2012-06-01,СОЛЛЕРС,SVAV,238.0,4428813.0,407.2,378.0,407.2,383.5,391.9,383.5,11300.0,391.9,391.9,391.9,4432851.7,4432851.7,4432851.7,
